Lab_ID,CCH2_ID,Herbarium_ID,year,tiss_wt.mg,tiss_type,tissue_notes,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,Nano_curve,gel?,gel_notes,other_notes,date_extracted,usable?,importance,priority,RNA_Qubit,
,,,,,,,,,,,,,,,,,,,,
25_001,NA,NA,2025,84,leaf,adult lf,23.6,31.3,1.88,2.55,great,y,,fresh tissue - field SW of Russel/Arthur; white flower,250131,y,,,,
25_002,NA,NA,2025,52.9,leaf,adult lf,13.28,16.7,1.93,2.75,great,y,,fresh tissue- field SW of Russel/Arthur; bronze flower,250131,y,,,,
25_003,NA,NA,2025,40,bud,,8.14,9.1,2.09,3.49,great,y,,fresh tissue- field SW of Russel/Arthur; white flower,250131,y,,,,
25_004,NA,NA,2025,12.3,bud,5 v young buds,2.22,3.1,2.53,2.33,low and wiggly,y,,fresh tissue- field SW of Russel/Arthur; bronze flower,250131,y,,,,
25_005,NA,NA,2025,20,leaf,adult lf,3.42,3.1,2.67,-4.19,"bad, wiggly",y,," field SW of Russel/Arthur, bronze flower; pressed & dried in office",250131,y,,,,
25_006,NA,NA,2025,10,leaf,young lf,22,24.2,1.96,3.24,great,y,," field SW of Russel/Arthur, bronze flower; pressed & dried in office",250131,y,,,,
25_007,NA,NA,2025,10,leaf,adult lf,8.66,10.3,2.14,2.8,niceish,y,," field SW of Russel/Arthur, bronze flower; pressed & dried in office",250131,y,,,,
25_008,NA,NA,2025,20,bud,,19.72,23.7,1.85,2.49,great,y,," field SW of Russel/Arthur, bronze flower; pressed & dried in office",250131,y,,,,
25_009,NA,NA,2025,10,bud,,23.2,27.7,1.9,2.34,great,y,," field SW of Russel/Arthur, bronze flower; pressed & dried in office",250131,y,,,,
25_010,NA,NA,2025,10,bud,,2.06,5.8,1.82,1.36,aweful,y,," Mendocino, Main st., pink flower; pressed & dried slowly/poorly at home",250131,y,,,,
25_011,1327836,DAV315352,2000,11.7,bud,used all tissue,4.05,10.4,1.51,1.15,nomal,y,,,250325,y,,,,
25_012,1368009,DAV310425,2007,8.3,leaf + bud,used only a few buds with young leaf; saved some bud tissue - not critical sample and wanted to try and see how well mixed leaf and bud will work,33.5,53.6,1.83,5.45,great,y,,,250325,y,,,,
25_013,1392578,DAV310393,2013,2.5,bud,"used 8 buds, saved 4 older buds",24.5,31.7,1.83,51.93,great,y,,,250325,y,,,,
25_014,2963303,DAV325632,2019,3.3,bud,"used all tissue - ~12 buds various sizes, tiny leaf bit",26.1,28.6,1.76,1.05,huge tail (tall at beginning),y,,,250325,y,,,,
25_015,304540,UCSB031991,1980,11.9,bud,"~11+ buds, saved 3 of the largest; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.087,3.2,1.17,1.19,ugly and squigly,n,,,250411,n,,,,
25_016,202449,OBI101734,2001,10.3,bud,"~6 buds, saved 2 largest; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",1.86,6.1,1.45,-5.75,okay,y,,,250411,y,,,,
25_017,293450,UCSB032040,2001,2.1,bud,~16 of smallest buds,0.648,4.5,1.35,1.03,bigger first lump,n,,,250411,n,,,,
25_018,330069,UCSB040101,2002,9.5,bud,"~14 med/sml buds, saved 5 med (looks like most tissue maybe so far); wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.878,6.3,1.46,0.73,"okay, high first peak",n,,,250411,n,,,,
25_019,202480,OBI101761,2004,3.6,bud,"~6 buds, removed 2 big buds; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",7,15.1,1.78,4.21,pretty good,y,,,250411,y,"not redundant, would need to revisit OBI",high priority,,
25_020,1896191,UCSB041759,2005,22,bud,"~10 med/sml buds, saved some larger and petiole; (looks like less tissue tha 25_018…) wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.148,-0.5,-1.18,0.08,bad (below 0 line),n,,,250411,n,,,,
25_021,292533,UCSB038863,2007,12.3,bud,"saved 3 med/sml; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.346,2.3,1.19,-1.04,"bad (below 0 line, but okay shape)",n,,,250411,n,,,,
25_022,1895626,UCSB041178,2009,14.9,bud,"~6 tiny (maybe leaset tissue so far), saved 2 med buds; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.378,2.3,1.84,-0.54,"bad (below 0 line, but okay shape)",n,,,250411,n,,,,
25_023,216778,OBI101740,2016,14.1,bud,"~20 tiny, saved numerous small; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",8.32,9.9,1.65,-0.7,"bad (below 0 line, but okay shape)",y,,,250411,y,,,,
25_024,215180,OBI101741,2017,9.3,bud,"several small and a whole lil apical cluster of buds; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",27.7,38.2,1.8,3.72,good,y,,,250411,y,,,,
25_025,3964300,UCSB044460,2017,8.3,bud,"~6 small, saved 3 small; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",0.24,1,2.01,-0.17,terrible - flat and drops below 0,n,,,250411,n,,,,
25_026,4064867,UCSB050386,2017,16.9,bud,"2 terminal bud clusters and several lil buds, saved lots (most tissue included); wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",24.7,28.1,1.82,2.36,good,n,,,250411,n,,,,
25_027,3630484,OBI161552,2019,13.3,bud,"~9 tiny/sml 1 med, saved 3 med; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",ISSUES,ISSUES,ISSUES,ISSUES,ISSUES,n,,f-ed up and both didn't change collection tube after wash and put into tube with tissue… dirty and probs ruined by ethanol,250411,n,,,,
25_028,5752868,OBI183593,2022,6.1,bud,"~7 sml (nice and green still) saved a lil lf flake; wt likely not accurate (tare with one beater tube, not the specific tube with tissue bc didn't want to loose tissue)",ISSUES,ISSUES,ISSUES,ISSUES,ISSUES,n,,f-ed up and both didn't change collection tube after wash and put into tube with tissue… dirty and probs ruined by ethanol,250411,n,,,,
25_029,3630484,OBI161552,2019,3.6,bud,weight off bc wet with EB buds,0.682,5.6,1.36,1.39,ugly and squigly,n,redo of 25_027,,250414,m,,,,
25_030,5752868,OBI183593,2022,2,bud+leaf,weight off bc wet with EB buds,6.04,6.6,1.7,-4.06,kinda fine,y,redo of 29_28,,250414,y,,,,
25_031,NA,NA,2025,11.3,leaf,used tiny leaf bud that looked nicest (green) ,too high,109.6,1.85,2.61,great,n," Mendocino, Main st., pink flower; pressed & dried slowly/poorly at home",,250414,y,,,,
25_032,NA,NA,2025,2.6,bud,"1 med/lrg, 9 sml",18.8,15.8,1.85,-1.24,negative start,n," field SW of Russel/Arthur, yellow flower; pressed & dried in office",,250414,y,,,,
25_033,202449,OBI101734,2001,4.6,bud+leaf,"2 lrg, 2.6 mg  lf tissue",5.73,30.3,1.97,-6.54,"neg start, big peak",y,,homogenization: 16 min with 3 2.45 mm beads +20 min after adding 1 3.2 mm bead,250418,y,meh,,,
25_034,293450,UCSB032040,2001,5,bud,"~9 med/lrg, saved 1 lrg",6.7,70.7,2.12,6.68,goood,y,fragments too small,homogenization: 46 min with 3 2.45 mm beads,250418,m,"would probs want to resample, closest post 200 to old specimen",high priority,,
25_035,330069,UCSB040101,2002,5.7,bud+leaf,5 med + 4.5mg leaf,2.12,37.1,2.05,-19.59,neg start,y,fragments too small,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,n,grp1 maybe redundant,,,
